recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-17T17:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.9
2021-01-17T17:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-17T17:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-17T17:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.2
2021-01-17T18:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.9
2021-01-17T18:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.7
2021-01-17T18:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.8
2021-01-17T18:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5
2021-01-17T19:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.2
2021-01-17T19:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-17T19:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-17T19:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6
2021-01-17T20:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-17T20:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-17T20:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-17T20:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-17T21:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6
2021-01-17T21:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-17T21:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-17T21:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-17T22:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.8
2021-01-18T23:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.4,22.6
2021-01-18T23:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.4,19.1
2021-01-19T00:00:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,16.4
2021-01-19T00:05:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,14.7
2021-01-19T00:10:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,13.4
2021-01-19T00:15:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,12.5
2021-01-19T00:20:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,10.4
2021-01-19T00:25:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,9.8
2021-01-19T00:30:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,9.3
2021-01-19T00:35:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,9
2021-01-19T00:40:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,8.5
2021-01-19T00:45:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,7.9
2021-01-19T00:50:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,7.1
2021-01-19T00:55:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,6.3
2021-01-19T01:00:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,6.1
2021-01-19T01:05:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.8
2021-01-19T01:10:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-19T01:15:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.8
2021-01-19T01:20:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.5
2021-01-19T02:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.8
2021-01-19T03:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.6
2021-01-19T03:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.5
2021-01-19T03:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.3
2021-01-19T03:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.3
2021-01-19T15:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.4
2021-01-19T15:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.5
2021-01-19T15:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.2
